Name,type,abilitie(s),HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Weight (Kg),Height (m)
meowstic-male,psychic,"keen-eye, infiltrator, prankster",74,48,76,83,81,104,85,0.6
honedge,"steel, ghost",no-guard,45,80,100,35,37,28,20,0.8
doublade,"steel, ghost",no-guard,59,110,150,45,49,35,45,0.8
aegislash-shield,"steel, ghost",stance-change,60,50,140,50,140,60,530,1.7
spritzee,fairy,"healer, aroma-veil",78,52,60,63,65,23,5,0.2
aromatisse,fairy,"healer, aroma-veil",101,72,72,99,89,29,155,0.8
swirlix,fairy,"sweet-veil, unburden",62,48,66,59,57,49,35,0.4
slurpuff,fairy,"sweet-veil, unburden",82,80,86,85,75,72,50,0.8
inkay,"dark, psychic","contrary, suction-cups, infiltrator",53,54,53,37,46,45,35,0.4
malamar,"dark, psychic","contrary, suction-cups, infiltrator",86,92,88,68,75,73,470,1.5
binacle,"rock, water","tough-claws, sniper, pickpocket",42,52,67,39,56,50,310,0.5
barbaracle,"rock, water","tough-claws, sniper, pickpocket",72,105,115,54,86,68,960,1.3
skrelp,"poison, water","poison-point, poison-touch, adaptability",50,60,60,60,60,30,73,0.5
dragalge,"poison, dragon","poison-point, poison-touch, adaptability",65,75,90,97,123,44,815,1.8
clauncher,water,mega-launcher,50,53,62,58,63,44,83,0.5
clawitzer,water,mega-launcher,71,73,88,120,89,59,353,1.3
helioptile,"electric, normal","dry-skin, sand-veil, solar-power",44,38,33,61,43,70,60,0.5
heliolisk,"electric, normal","dry-skin, sand-veil, solar-power",62,55,52,109,94,109,210,1.0
tyrunt,"rock, dragon","strong-jaw, sturdy",58,89,77,45,45,48,260,0.8
tyrantrum,"rock, dragon","strong-jaw, rock-head",82,121,119,69,59,71,2700,2.5
amaura,"rock, ice","refrigerate, snow-warning",77,59,50,67,63,46,252,1.3
aurorus,"rock, ice","refrigerate, snow-warning",123,77,72,99,92,58,2250,2.7
sylveon,fairy,"cute-charm, pixilate",95,65,65,110,130,60,235,1.0
hawlucha,"fighting, flying","limber, unburden, mold-breaker",78,92,75,74,63,118,215,0.8
dedenne,"electric, fairy","cheek-pouch, pickup, plus",67,58,57,81,67,101,22,0.2
carbink,"rock, fairy","clear-body, sturdy",50,50,150,50,150,50,57,0.3
goomy,dragon,"sap-sipper, hydration, gooey",45,50,35,55,75,40,28,0.3
sliggoo,dragon,"sap-sipper, hydration, gooey",68,75,53,83,113,60,175,0.8
goodra,dragon,"sap-sipper, hydration, gooey",90,100,70,110,150,80,1505,2.0
klefki,"steel, fairy","prankster, magician",57,80,91,80,87,75,30,0.2
phantump,"ghost, grass","natural-cure, frisk, harvest",43,70,48,50,60,38,70,0.4
trevenant,"ghost, grass","natural-cure, frisk, harvest",85,110,76,65,82,56,710,1.5
pumpkaboo-average,"ghost, grass","pickup, frisk, insomnia",49,66,70,44,55,51,50,0.4
gourgeist-average,"ghost, grass","pickup, frisk, insomnia",65,90,122,58,75,84,125,0.9
bergmite,ice,"own-tempo, ice-body, sturdy",55,69,85,32,35,28,995,1.0
avalugg,ice,"own-tempo, ice-body, sturdy",95,117,184,44,46,28,5050,2.0
noibat,"flying, dragon","frisk, infiltrator, telepathy",40,30,35,45,40,55,80,0.5
noivern,"flying, dragon","frisk, infiltrator, telepathy",85,70,80,97,80,123,850,1.5
xerneas,fairy,fairy-aura,126,131,95,131,98,99,2150,3.0
yveltal,"dark, flying",dark-aura,126,131,95,131,98,99,2030,5.8
diancie,"rock, fairy",clear-body,50,100,150,100,150,50,88,0.7
hoopa,"psychic, ghost",magician,80,110,60,150,130,70,90,0.5
volcanion,"fire, water",water-absorb,80,110,120,130,90,70,1950,1.7
rowlet,"grass, flying","overgrow, long-reach",68,55,55,50,50,42,15,0.3
dartrix,"grass, flying","overgrow, long-reach",78,75,75,70,70,52,160,0.7
decidueye,"grass, ghost","overgrow, long-reach",78,107,75,100,100,70,366,1.6
litten,fire,"blaze, intimidate",45,65,40,60,40,70,43,0.4
torracat,fire,"blaze, intimidate",65,85,50,80,50,90,250,0.7
incineroar,"fire, dark","blaze, intimidate",95,115,90,80,90,60,830,1.8
popplio,water,"torrent, liquid-voice",50,54,54,66,56,40,75,0.4
brionne,water,"torrent, liquid-voice",60,69,69,91,81,50,175,0.6
primarina,"water, fairy","torrent, liquid-voice",80,74,74,126,116,60,440,1.8
pikipek,"normal, flying","keen-eye, skill-link, pickup",35,75,30,30,30,65,12,0.3
trumbeak,"normal, flying","keen-eye, skill-link, pickup",55,85,50,40,50,75,148,0.6
toucannon,"normal, flying","keen-eye, skill-link, sheer-force",80,120,75,75,75,60,260,1.1
yungoos,normal,"stakeout, strong-jaw, adaptability",48,70,30,30,30,45,60,0.4
gumshoos,normal,"stakeout, strong-jaw, adaptability",88,110,60,55,60,45,142,0.7
grubbin,bug,swarm,47,62,45,55,45,46,44,0.4
charjabug,"bug, electric",battery,57,82,95,55,75,36,105,0.5
vikavolt,"bug, electric",levitate,77,70,90,145,75,43,450,1.5
crabrawler,fighting,"hyper-cutter, iron-fist, anger-point",47,82,57,42,47,63,70,0.6
crabominable,"fighting, ice","hyper-cutter, iron-fist, anger-point",97,132,77,62,67,43,1800,1.7
oricorio-baile,"fire, flying",dancer,75,70,70,98,70,93,34,0.6
cutiefly,"bug, fairy","honey-gather, shield-dust, sweet-veil",40,45,40,55,40,84,2,0.1
ribombee,"bug, fairy","honey-gather, shield-dust, sweet-veil",60,55,60,95,70,124,5,0.2
rockruff,rock,"keen-eye, vital-spirit, steadfast",45,65,40,30,40,60,92,0.5
lycanroc-midday,rock,"keen-eye, sand-rush, steadfast",75,115,65,55,65,112,250,0.8
wishiwashi-solo,water,schooling,45,20,20,25,25,40,3,0.2
mareanie,"poison, water","merciless, limber, regenerator",50,53,62,43,52,45,80,0.4
toxapex,"poison, water","merciless, limber, regenerator",50,63,152,53,142,35,145,0.7
mudbray,ground,"own-tempo, stamina, inner-focus",70,100,70,45,55,45,1100,1.0
mudsdale,ground,"own-tempo, stamina, inner-focus",100,125,100,55,85,35,9200,2.5
dewpider,"water, bug","water-bubble, water-absorb",38,40,52,40,72,27,40,0.3
araquanid,"water, bug","water-bubble, water-absorb",68,70,92,50,132,42,820,1.8
fomantis,grass,"leaf-guard, contrary",40,55,35,50,35,35,15,0.3
lurantis,grass,"leaf-guard, contrary",70,105,90,80,90,45,185,0.9
morelull,"grass, fairy","illuminate, effect-spore, rain-dish",40,35,55,65,75,15,15,0.2
shiinotic,"grass, fairy","illuminate, effect-spore, rain-dish",60,45,80,90,100,30,115,1.0
salandit,"poison, fire","corrosion, oblivious",48,44,40,71,40,77,48,0.6
salazzle,"poison, fire","corrosion, oblivious",68,64,60,111,60,117,222,1.2
stufful,"normal, fighting","fluffy, klutz, cute-charm",70,75,50,45,50,50,68,0.5
bewear,"normal, fighting","fluffy, klutz, unnerve",120,125,80,55,60,60,1350,2.1
bounsweet,grass,"leaf-guard, oblivious, sweet-veil",42,30,38,30,38,32,32,0.3
steenee,grass,"leaf-guard, oblivious, sweet-veil",52,40,48,40,48,62,82,0.7
tsareena,grass,"leaf-guard, queenly-majesty, sweet-veil",72,120,98,50,98,72,214,1.2
comfey,fairy,"flower-veil, triage, natural-cure",51,52,90,82,110,100,3,0.1
oranguru,"normal, psychic","inner-focus, telepathy, symbiosis",90,60,80,90,110,60,760,1.5
passimian,fighting,"receiver, defiant",100,120,90,40,60,80,828,2.0
wimpod,"bug, water",wimp-out,25,35,40,20,30,80,120,0.5
golisopod,"bug, water",emergency-exit,75,125,140,60,90,40,1080,2.0
sandygast,"ghost, ground","water-compaction, sand-veil",55,55,80,70,45,15,700,0.5
palossand,"ghost, ground","water-compaction, sand-veil",85,75,110,100,75,35,2500,1.3
pyukumuku,water,"innards-out, unaware",55,60,130,30,130,5,12,0.3
type-null,normal,battle-armor,95,95,95,95,95,59,1205,1.9
silvally,normal,rks-system,95,95,95,95,95,95,1005,2.3
minior-red-meteor,"rock, flying",shields-down,60,60,100,60,100,60,400,0.3
komala,normal,comatose,65,115,65,75,95,65,199,0.4
turtonator,"fire, dragon",shell-armor,60,78,135,91,85,36,2120,2.0
togedemaru,"electric, steel","iron-barbs, lightning-rod, sturdy",65,98,63,40,73,96,33,0.3
mimikyu-disguised,"ghost, fairy",disguise,55,90,80,50,105,96,7,0.2
bruxish,"water, psychic","dazzling, strong-jaw, wonder-skin",68,105,70,70,70,92,190,0.9
drampa,"normal, dragon","berserk, sap-sipper, cloud-nine",78,60,85,135,91,36,1850,3.0
dhelmise,"ghost, grass",steelworker,70,131,100,86,90,40,2100,3.9
jangmo-o,dragon,"bulletproof, soundproof, overcoat",45,55,65,45,45,45,297,0.6
hakamo-o,"dragon, fighting","bulletproof, soundproof, overcoat",55,75,90,65,70,65,470,1.2
kommo-o,"dragon, fighting","bulletproof, soundproof, overcoat",75,110,125,100,105,85,782,1.6
tapu-koko,"electric, fairy","electric-surge, telepathy",70,115,85,95,75,130,205,1.8
tapu-lele,"psychic, fairy","psychic-surge, telepathy",70,85,75,130,115,95,186,1.2
tapu-bulu,"grass, fairy","grassy-surge, telepathy",70,130,115,85,95,75,455,1.9
tapu-fini,"water, fairy","misty-surge, telepathy",70,75,115,95,130,85,212,1.3
cosmog,psychic,unaware,43,29,31,29,31,37,1,0.2
cosmoem,psychic,sturdy,43,29,131,29,131,37,9999,0.1
solgaleo,"psychic, steel",full-metal-body,137,137,107,113,89,97,2300,3.4
lunala,"psychic, ghost",shadow-shield,137,113,89,137,107,97,1200,4.0
nihilego,"rock, poison",beast-boost,109,53,47,127,131,103,555,1.2
buzzwole,"bug, fighting",beast-boost,107,139,139,53,53,79,3336,2.4
pheromosa,"bug, fighting",beast-boost,71,137,37,137,37,151,250,1.8
xurkitree,electric,beast-boost,83,89,71,173,71,83,1000,3.8
celesteela,"steel, flying",beast-boost,97,101,103,107,101,61,9999,9.2
kartana,"grass, steel",beast-boost,59,181,131,59,31,109,1,0.3
guzzlord,"dark, dragon",beast-boost,223,101,53,97,53,43,8880,5.5
necrozma,psychic,prism-armor,97,107,101,127,89,79,2300,2.4
magearna,"steel, fairy",soul-heart,80,95,115,130,115,65,805,1.0
marshadow,"fighting, ghost",technician,90,125,80,90,90,125,222,0.7
poipole,poison,beast-boost,67,73,67,73,67,73,18,0.6
naganadel,"poison, dragon",beast-boost,73,73,73,127,73,121,1500,3.6
stakataka,"rock, steel",beast-boost,61,131,211,53,101,13,8200,5.5
blacephalon,"fire, ghost",beast-boost,53,127,53,151,79,107,130,1.8
zeraora,electric,volt-absorb,88,112,75,102,80,143,445,1.5
meltan,steel,magnet-pull,46,65,65,55,35,34,80,0.2
melmetal,steel,iron-fist,135,143,143,80,65,34,8000,2.5
grookey,grass,"overgrow, grassy-surge",50,65,50,40,40,65,50,0.3
thwackey,grass,"overgrow, grassy-surge",70,85,70,55,60,80,140,0.7
rillaboom,grass,"overgrow, grassy-surge",100,125,90,60,70,85,900,2.1
scorbunny,fire,"blaze, libero",50,71,40,40,40,69,45,0.3
raboot,fire,"blaze, libero",65,86,60,55,60,94,90,0.6
cinderace,fire,"blaze, libero",80,116,75,65,75,119,330,1.4
sobble,water,"torrent, sniper",50,40,40,70,40,70,40,0.3
drizzile,water,"torrent, sniper",65,60,55,95,55,90,115,0.7
inteleon,water,"torrent, sniper",70,85,65,125,65,120,452,1.9
skwovet,normal,"cheek-pouch, gluttony",70,55,55,35,35,25,25,0.3
greedent,normal,"cheek-pouch, gluttony",120,95,95,55,75,20,60,0.6
rookidee,flying,"keen-eye, unnerve, big-pecks",38,47,35,33,35,57,18,0.2
corvisquire,flying,"keen-eye, unnerve, big-pecks",68,67,55,43,55,77,160,0.8
corviknight,"flying, steel","pressure, unnerve, mirror-armor",98,87,105,53,85,67,750,2.2
blipbug,bug,"swarm, compound-eyes, telepathy",25,20,20,25,45,45,80,0.4
dottler,"bug, psychic","swarm, compound-eyes, telepathy",50,35,80,50,90,30,195,0.4
orbeetle,"bug, psychic","swarm, frisk, telepathy",60,45,110,80,120,90,408,0.4
nickit,dark,"run-away, unburden, stakeout",40,28,28,47,52,50,89,0.6
thievul,dark,"run-away, unburden, stakeout",70,58,58,87,92,90,199,1.2
gossifleur,grass,"cotton-down, regenerator, effect-spore",40,40,60,40,60,10,22,0.4
eldegoss,grass,"cotton-down, regenerator, effect-spore",60,50,90,80,120,60,25,0.5
wooloo,normal,"fluffy, run-away, bulletproof",42,40,55,40,45,48,60,0.6
dubwool,normal,"fluffy, steadfast, bulletproof",72,80,100,60,90,88,430,1.3
chewtle,water,"strong-jaw, shell-armor, swift-swim",50,64,50,38,38,44,85,0.3
drednaw,"water, rock","strong-jaw, shell-armor, swift-swim",90,115,90,48,68,74,1155,1.0
yamper,electric,"ball-fetch, rattled",59,45,50,40,50,26,135,0.3
boltund,electric,"strong-jaw, competitive",69,90,60,90,60,121,340,1.0
rolycoly,rock,"steam-engine, heatproof, flash-fire",30,40,50,40,50,30,120,0.3
carkol,"rock, fire","steam-engine, flame-body, flash-fire",80,60,90,60,70,50,780,1.1
coalossal,"rock, fire","steam-engine, flame-body, flash-fire",110,80,120,80,90,30,3105,2.8
applin,"grass, dragon","ripen, gluttony, bulletproof",40,40,80,40,40,20,5,0.2
flapple,"grass, dragon","ripen, gluttony, hustle",70,110,80,95,60,70,10,0.3
appletun,"grass, dragon","ripen, gluttony, thick-fat",110,85,80,100,80,30,130,0.4
silicobra,ground,"sand-spit, shed-skin, sand-veil",52,57,75,35,50,46,76,2.2
sandaconda,ground,"sand-spit, shed-skin, sand-veil",72,107,125,65,70,71,655,3.8
cramorant,"flying, water",gulp-missile,70,85,55,85,95,85,180,0.8
arrokuda,water,"swift-swim, propeller-tail",41,63,40,40,30,66,10,0.5
barraskewda,water,"swift-swim, propeller-tail",61,123,60,60,50,136,300,1.3
toxel,"electric, poison","rattled, static, klutz",40,38,35,54,35,40,110,0.4
toxtricity-amped,"electric, poison","punk-rock, plus, technician",75,98,70,114,70,75,400,1.6
sizzlipede,"fire, bug","flash-fire, white-smoke, flame-body",50,65,45,50,50,45,10,0.7
centiskorch,"fire, bug","flash-fire, white-smoke, flame-body",100,115,65,90,90,65,1200,3.0
clobbopus,fighting,"limber, technician",50,68,60,50,50,32,40,0.6
grapploct,fighting,"limber, technician",80,118,90,70,80,42,390,1.6
sinistea,ghost,"weak-armor, cursed-body",40,45,45,74,54,50,2,0.1
polteageist,ghost,"weak-armor, cursed-body",60,65,65,134,114,70,4,0.2
hatenna,psychic,"healer, anticipation, magic-bounce",42,30,45,56,53,39,34,0.4
hattrem,psychic,"healer, anticipation, magic-bounce",57,40,65,86,73,49,48,0.6
hatterene,"psychic, fairy","healer, anticipation, magic-bounce",57,90,95,136,103,29,51,2.1
impidimp,"dark, fairy","prankster, frisk, pickpocket",45,45,30,55,40,50,55,0.4
morgrem,"dark, fairy","prankster, frisk, pickpocket",65,60,45,75,55,70,125,0.8
grimmsnarl,"dark, fairy","prankster, frisk, pickpocket",95,120,65,95,75,60,610,1.5
obstagoon,"dark, normal","reckless, guts, defiant",93,90,101,60,81,95,460,1.6
perrserker,steel,"battle-armor, tough-claws, steely-spirit",70,110,100,50,60,50,280,0.8
cursola,ghost,"weak-armor, perish-body",60,95,50,145,130,30,4,1.0
sirfetchd,fighting,"steadfast, scrappy",62,135,95,68,82,65,1170,0.8
mr-rime,"ice, psychic","tangled-feet, screen-cleaner, ice-body",80,85,75,110,100,70,582,1.5
runerigus,"ground, ghost",wandering-spirit,58,95,145,50,105,30,666,1.6
milcery,fairy,"sweet-veil, aroma-veil",45,40,40,50,61,34,3,0.2
alcremie,fairy,"sweet-veil, aroma-veil",65,60,75,110,121,64,5,0.3
falinks,fighting,"battle-armor, defiant",65,100,100,70,60,75,620,3.0
pincurchin,electric,"lightning-rod, electric-surge",48,101,95,91,85,15,10,0.3
snom,"ice, bug","shield-dust, ice-scales",30,25,35,45,30,20,38,0.3
frosmoth,"ice, bug","shield-dust, ice-scales",70,65,60,125,90,65,420,1.3
stonjourner,rock,power-spot,100,125,135,20,20,70,5200,2.5
eiscue-ice,ice,ice-face,75,80,110,65,90,50,890,1.4
indeedee-male,"psychic, normal","inner-focus, synchronize, psychic-surge",60,65,55,105,95,95,280,0.9
morpeko-full-belly,"electric, dark",hunger-switch,58,95,58,70,58,97,30,0.3
cufant,steel,"sheer-force, heavy-metal",72,80,49,40,49,40,1000,1.2
copperajah,steel,"sheer-force, heavy-metal",122,130,69,80,69,30,6500,3.0
dracozolt,"electric, dragon","volt-absorb, hustle, sand-rush",90,100,90,80,70,75,1900,1.8
arctozolt,"electric, ice","volt-absorb, static, slush-rush",90,100,90,90,80,55,1500,2.3
dracovish,"water, dragon","water-absorb, strong-jaw, sand-rush",90,90,100,70,80,75,2150,2.3
arctovish,"water, ice","water-absorb, ice-body, slush-rush",90,90,100,80,90,55,1750,2.0
duraludon,"steel, dragon","light-metal, heavy-metal, stalwart",70,95,115,120,50,85,400,1.8
dreepy,"dragon, ghost","clear-body, infiltrator, cursed-body",28,60,30,40,30,82,20,0.5
drakloak,"dragon, ghost","clear-body, infiltrator, cursed-body",68,80,50,60,50,102,110,1.4
dragapult,"dragon, ghost","clear-body, infiltrator, cursed-body",88,120,75,100,75,142,500,3.0
zacian,fairy,intrepid-sword,92,120,115,80,115,138,1100,2.8
zamazenta,fighting,dauntless-shield,92,120,115,80,115,138,2100,2.9
eternatus,"poison, dragon",pressure,140,85,95,145,95,130,9500,20.0
kubfu,fighting,inner-focus,60,90,60,53,50,72,120,0.6
urshifu-single-strike,"fighting, dark",unseen-fist,100,130,100,63,60,97,1050,1.9
zarude,"dark, grass",leaf-guard,105,120,105,70,95,105,700,1.8
regieleki,electric,transistor,80,100,50,100,50,200,1450,1.2
regidrago,dragon,dragons-maw,200,100,50,100,50,80,2000,2.1
glastrier,ice,chilling-neigh,100,145,130,65,110,30,8000,2.2
spectrier,ghost,grim-neigh,100,65,60,145,80,130,445,2.0
calyrex,"psychic, grass",unnerve,100,80,80,80,80,80,77,1.1
wyrdeer,"normal, psychic","intimidate, frisk, sap-sipper",103,105,72,105,75,65,951,1.8
kleavor,"bug, rock","swarm, sheer-force, sharpness",70,135,95,45,70,85,890,1.8
ursaluna,"ground, normal","guts, bulletproof, unnerve",130,140,105,45,80,50,2900,2.4
basculegion-male,"water, ghost","swift-swim, adaptability, mold-breaker",120,112,65,80,75,78,1100,3.0
sneasler,"fighting, poison","pressure, unburden, poison-touch",80,130,60,40,80,120,430,1.3
overqwil,"dark, poison","poison-point, swift-swim, intimidate",85,115,95,65,65,85,605,2.5
enamorus-incarnate,"fairy, flying","cute-charm, contrary",74,115,70,135,80,106,480,1.6
sprigatito,grass,"overgrow, protean",40,61,54,45,45,65,41,0.4
floragato,grass,"overgrow, protean",61,80,63,60,63,83,122,0.9
meowscarada,"grass, dark","overgrow, protean",76,110,70,81,70,123,312,1.5
fuecoco,fire,"blaze, unaware",67,45,59,63,40,36,98,0.4
crocalor,fire,"blaze, unaware",81,55,78,90,58,49,307,1.0
skeledirge,"fire, ghost","blaze, unaware",104,75,100,110,75,66,3265,1.6
quaxly,water,"torrent, moxie",55,65,45,50,45,50,61,0.5
quaxwell,water,"torrent, moxie",70,85,65,65,60,65,215,1.2
quaquaval,"water, fighting","torrent, moxie",85,120,80,85,75,85,619,1.8
lechonk,normal,"aroma-veil, gluttony, thick-fat",54,45,40,35,45,35,102,0.5
oinkologne-male,normal,"lingering-aroma, gluttony, thick-fat",110,100,75,59,80,65,1200,1.0
tarountula,bug,"insomnia, stakeout",35,41,45,29,40,20,40,0.3
spidops,bug,"insomnia, stakeout",60,79,92,52,86,35,165,1.0
nymble,bug,"swarm, tinted-lens",33,46,40,21,25,45,10,0.2
lokix,"bug, dark","swarm, tinted-lens",71,102,78,52,55,92,175,1.0
pawmi,electric,"static, natural-cure, iron-fist",45,50,20,40,25,60,25,0.3
pawmo,"electric, fighting","volt-absorb, natural-cure, iron-fist",60,75,40,50,40,85,65,0.4
pawmot,"electric, fighting","volt-absorb, natural-cure, iron-fist",70,115,70,70,60,105,410,0.9
tandemaus,normal,"run-away, pickup, own-tempo",50,50,45,40,45,75,18,0.3
maushold-family-of-four,normal,"friend-guard, cheek-pouch, technician",74,75,70,65,75,111,23,0.3
fidough,fairy,"own-tempo, klutz",37,55,70,30,55,65,109,0.3
dachsbun,fairy,"well-baked-body, aroma-veil",57,80,115,50,80,95,149,0.5
smoliv,"grass, normal","early-bird, harvest",41,35,45,58,51,30,65,0.3
dolliv,"grass, normal","early-bird, harvest",52,53,60,78,78,33,119,0.6
arboliva,"grass, normal","seed-sower, harvest",78,69,90,125,109,39,482,1.4
squawkabilly-green-plumage,"normal, flying","intimidate, hustle, guts",82,96,51,45,51,92,24,0.6
nacli,rock,"purifying-salt, sturdy, clear-body",55,55,75,35,35,25,160,0.4
naclstack,rock,"purifying-salt, sturdy, clear-body",60,60,100,35,65,35,1050,0.6
garganacl,rock,"purifying-salt, sturdy, clear-body",100,100,130,45,90,35,2400,2.3
charcadet,fire,"flash-fire, flame-body",40,50,40,50,40,35,105,0.6
armarouge,"fire, psychic","flash-fire, weak-armor",85,60,100,125,80,75,850,1.5
ceruledge,"fire, ghost","flash-fire, weak-armor",75,125,80,60,100,85,620,1.6
tadbulb,electric,"own-tempo, static, damp",61,31,41,59,35,45,4,0.3
bellibolt,electric,"electromorphosis, static, damp",109,64,91,103,83,45,1130,1.2
wattrel,"electric, flying","wind-power, volt-absorb, competitive",40,40,35,55,40,70,36,0.4
kilowattrel,"electric, flying","wind-power, volt-absorb, competitive",70,70,60,105,60,125,386,1.4
maschiff,dark,"intimidate, run-away, stakeout",60,78,60,40,51,51,160,0.5
mabosstiff,dark,"intimidate, guard-dog, stakeout",80,120,90,60,70,85,610,1.1
shroodle,"poison, normal","unburden, pickpocket, prankster",40,65,35,40,35,75,7,0.2
grafaiai,"poison, normal","unburden, poison-touch, prankster",63,95,65,80,72,110,272,0.7
bramblin,"grass, ghost","wind-rider, infiltrator",40,65,30,45,35,60,6,0.6
brambleghast,"grass, ghost","wind-rider, infiltrator",55,115,70,80,70,90,60,1.2
toedscool,"ground, grass","mycelium-might, mycelium-might",40,40,35,50,100,70,330,0.9
toedscruel,"ground, grass","mycelium-might, mycelium-might",80,70,65,80,120,100,580,1.9
klawf,rock,"anger-shell, shell-armor, regenerator",70,100,115,35,55,75,790,1.3
capsakid,grass,"chlorophyll, insomnia, klutz",50,62,40,62,40,50,30,0.3
scovillain,"grass, fire","chlorophyll, insomnia, moody",65,108,65,108,65,75,150,0.9
rellor,bug,"compound-eyes, shed-skin",41,50,60,31,58,30,10,0.2
rabsca,"bug, psychic","synchronize, telepathy",75,50,85,115,100,45,35,0.3
flittle,psychic,"anticipation, frisk, speed-boost",30,35,30,55,30,75,15,0.2
espathra,psychic,"opportunist, frisk, speed-boost",95,60,60,101,60,105,900,1.9
tinkatink,"fairy, steel","mold-breaker, own-tempo, pickpocket",50,45,45,35,64,58,89,0.4
tinkatuff,"fairy, steel","mold-breaker, own-tempo, pickpocket",65,55,55,45,82,78,591,0.7
tinkaton,"fairy, steel","mold-breaker, own-tempo, pickpocket",85,75,77,70,105,94,1128,0.7
wiglett,water,"gooey, rattled, sand-veil",10,55,25,35,25,95,18,1.2
wugtrio,water,"gooey, rattled, sand-veil",35,100,50,50,70,120,54,1.2
bombirdier,"flying, dark","big-pecks, keen-eye, rocky-payload",70,103,85,60,85,82,429,1.5
finizen,water,"water-veil, water-veil",70,45,40,45,40,75,602,1.3
palafin-zero,water,"zero-to-hero, zero-to-hero",100,70,72,53,62,100,602,1.3
varoom,"steel, poison","overcoat, slow-start",45,70,63,30,45,47,350,1.0
revavroom,"steel, poison","overcoat, filter",80,119,90,54,67,90,1200,1.8
cyclizar,"dragon, normal","shed-skin, regenerator",70,95,65,85,65,121,630,1.6
orthworm,steel,"earth-eater, sand-veil",70,85,145,60,55,65,3100,2.5
glimmet,"rock, poison","toxic-debris, corrosion",48,35,42,105,60,60,80,0.7
glimmora,"rock, poison","toxic-debris, corrosion",83,55,90,130,81,86,450,1.5
greavard,ghost,"pickup, fluffy",50,61,60,30,55,34,350,0.6
houndstone,ghost,"sand-rush, fluffy",72,101,100,50,97,68,150,2.0
flamigo,"flying, fighting","scrappy, tangled-feet, costar",82,115,74,75,64,90,370,1.6
cetoddle,ice,"thick-fat, snow-cloak, sheer-force",108,68,45,30,40,43,450,1.2
cetitan,ice,"thick-fat, slush-rush, sheer-force",170,113,65,45,55,73,7000,4.5
veluza,"water, psychic","mold-breaker, sharpness",90,102,73,78,65,70,900,2.5
dondozo,water,"unaware, oblivious, water-veil",150,100,115,65,65,35,2200,12.0
tatsugiri-curly,"dragon, water","commander, storm-drain",68,50,60,120,95,82,80,0.3
annihilape,"fighting, ghost","vital-spirit, inner-focus, defiant",110,115,80,50,90,90,560,1.2
clodsire,"poison, ground","poison-point, water-absorb, unaware",130,75,60,45,100,20,2230,1.8
farigiraf,"normal, psychic","cud-chew, armor-tail, sap-sipper",120,90,70,110,70,60,1600,3.2
dudunsparce-two-segment,normal,"serene-grace, run-away, rattled",125,100,80,85,75,55,392,3.6
kingambit,"dark, steel","defiant, supreme-overlord, pressure",100,135,120,60,85,50,1200,2.0
great-tusk,"ground, fighting",protosynthesis,115,131,131,53,53,87,3200,2.2
scream-tail,"fairy, psychic",protosynthesis,115,65,99,65,115,111,80,1.2
brute-bonnet,"grass, dark",protosynthesis,111,127,99,79,99,55,210,1.2
flutter-mane,"ghost, fairy",protosynthesis,55,55,55,135,135,135,40,1.4
slither-wing,"bug, fighting",protosynthesis,85,135,79,85,105,81,920,3.2
sandy-shocks,"electric, ground",protosynthesis,85,81,97,121,85,101,600,2.3
iron-treads,"ground, steel",quark-drive,90,112,120,72,70,106,2400,0.9
iron-bundle,"ice, water",quark-drive,56,80,114,124,60,136,110,0.6
iron-hands,"fighting, electric",quark-drive,154,140,108,50,68,50,3807,1.8
iron-jugulis,"dark, flying",quark-drive,94,80,86,122,80,108,1110,1.3
iron-moth,"fire, poison",quark-drive,80,70,60,140,110,110,360,1.2
iron-thorns,"rock, electric",quark-drive,100,134,110,70,84,72,3030,1.6
frigibax,"dragon, ice","thermal-exchange, ice-body",65,75,45,35,45,55,170,0.5
arctibax,"dragon, ice","thermal-exchange, ice-body",90,95,66,45,65,62,300,0.8
baxcalibur,"dragon, ice","thermal-exchange, ice-body",115,145,92,75,86,87,2100,2.1
gimmighoul,ghost,rattled,45,30,70,75,70,10,50,0.3
gholdengo,"steel, ghost",good-as-gold,87,60,95,133,91,84,300,1.2
wo-chien,"dark, grass",tablets-of-ruin,85,85,100,95,135,70,742,1.5
chien-pao,"dark, ice",sword-of-ruin,80,120,80,90,65,135,1522,1.9
ting-lu,"dark, ground",vessel-of-ruin,155,110,125,55,80,45,6997,2.7
chi-yu,"dark, fire",beads-of-ruin,55,80,80,135,120,100,49,0.4
roaring-moon,"dragon, dark",protosynthesis,105,139,71,55,101,119,3800,2.0
iron-valiant,"fairy, fighting",quark-drive,74,130,90,120,60,116,350,1.4
koraidon,"fighting, dragon",orichalcum-pulse,100,135,115,85,100,135,3030,2.5
miraidon,"electric, dragon",hadron-engine,100,85,100,135,115,135,2400,3.5
walking-wake,"water, dragon",protosynthesis,99,83,91,125,83,109,2800,3.5
iron-leaves,"grass, psychic",quark-drive,90,130,88,70,108,104,1250,1.5
dipplin,"grass, dragon","supersweet-syrup, gluttony, sticky-hold",80,80,110,95,80,40,97,0.4
poltchageist,"grass, ghost","hospitality, heatproof",40,45,45,74,54,50,11,0.1
sinistcha,"grass, ghost","hospitality, heatproof",71,60,106,121,80,70,22,0.2
